AGS;Geme_Bezeichnung;WOMA_ID
3153012;Seesen, Stadt;4109
3153014;Wallmoden;4109
3153016;Braunlage, Stadt;4109
3153017;Goslar, Stadt;4109
3153018;Clausthal-Zellerfeld, Berg- und Universitätsstadt;4109
3153504;Harz (Landkreis Goslar), gemfr. Gebiet;4109
3151001;Adenbüttel;4108
3151002;Barwedel;4108
3151003;Bergfeld;4108
3151004;Bokensdorf;4108
3151005;Brome, Flecken;4108
3151006;Calberlah;4108
3151007;Dedelstorf;4107
3151008;Ehra-Lessien;4108
3151009;Gifhorn, Stadt;4108
3151010;Groß Oesingen;4108
3151011;Hankensbüttel;4107
3151012;Hillerse;4108
3151013;Isenbüttel;4108
3151014;Jembke;4108
3151015;Leiferde;4108
3151016;Meine;4108
3151017;Meinersen;4108
3151018;Müden (Aller);4108
3151019;Obernholz;4107
3151020;Osloß;4108
3151021;Parsau;4108
3151022;Ribbesbüttel;4108
3151023;Rötgesbüttel;4108
3151024;Rühen;4108
3151025;Sassenburg;4108
3151026;Schönewörde;4108
3151027;Schwülper;4108
3151028;Sprakensehl;4107
3151029;Steinhorst;4107
3151030;Tappenbeck;4108
3151031;Tiddische;4108
3151032;Tülau;4108
3151033;Ummern;4108
3151034;Vordorf;4108
3151035;Wagenhoff;4108
3151036;Wahrenholz;4108
3151037;Wasbüttel;4108
3151038;Wesendorf;4108
3151039;Weyhausen;4108
3151040;Wittingen, Stadt;4107
3151041;Didderse;4108
3151501;Giebel, gemfr. Gebiet;4108
3103000;Wolfsburg, Stadt;4204
3102000;Salzgitter, Stadt;4109
3101000;Braunschweig, Stadt;4206
