Immobilienart;Region;Zeitabschnitt;Anzahl_Gewichtung;Index_final
gebrauchte Eigenheime;4106;2020_3;;
gebrauchte Eigenheime;4106;2020_4;;
gebrauchte Eigenheime;4106;2021_1;;
gebrauchte Eigenheime;4106;2021_2;;
gebrauchte Eigenheime;4106;2021_3;;
gebrauchte Eigenheime;4106;2021_4;;
gebrauchte Eigenheime;4107;2000_1;322;
gebrauchte Eigenheime;4107;2000_2;304;122,783
gebrauchte Eigenheime;4107;2000_3;238;124,164
gebrauchte Eigenheime;4107;2000_4;243;123,560
gebrauchte Eigenheime;4107;2001_1;264;121,580
gebrauchte Eigenheime;4107;2001_2;253;116,640
gebrauchte Eigenheime;4107;2001_3;283;115,745
gebrauchte Eigenheime;4107;2001_4;297;117,944
gebrauchte Eigenheime;4107;2002_1;250;117,639
gebrauchte Eigenheime;4107;2002_2;312;117,130
gebrauchte Eigenheime;4107;2002_3;262;115,251
gebrauchte Eigenheime;4107;2002_4;390;112,654
gebrauchte Eigenheime;4107;2003_1;176;113,273
gebrauchte Eigenheime;4107;2003_2;250;115,041
gebrauchte Eigenheime;4107;2003_3;289;113,416
gebrauchte Eigenheime;4107;2003_4;382;112,716
gebrauchte Eigenheime;4107;2004_1;167;109,339
gebrauchte Eigenheime;4107;2004_2;264;103,166
gebrauchte Eigenheime;4107;2004_3;270;102,926
gebrauchte Eigenheime;4107;2004_4;363;102,720
gebrauchte Eigenheime;4107;2005_1;207;102,620
gebrauchte Eigenheime;4107;2005_2;272;106,314
gebrauchte Eigenheime;4107;2005_3;287;108,372
gebrauchte Eigenheime;4107;2005_4;483;108,858
gebrauchte Eigenheime;4107;2006_1;158;107,330
gebrauchte Eigenheime;4107;2006_2;242;99,443
gebrauchte Eigenheime;4107;2006_3;247;97,877
gebrauchte Eigenheime;4107;2006_4;289;101,337
gebrauchte Eigenheime;4107;2007_1;251;102,579
gebrauchte Eigenheime;4107;2007_2;270;100,407
gebrauchte Eigenheime;4107;2007_3;297;98,155
gebrauchte Eigenheime;4107;2007_4;295;97,402
gebrauchte Eigenheime;4107;2008_1;220;97,454
gebrauchte Eigenheime;4107;2008_2;299;96,070
gebrauchte Eigenheime;4107;2008_3;290;95,373
gebrauchte Eigenheime;4107;2008_4;271;96,168
gebrauchte Eigenheime;4107;2009_1;256;95,175
gebrauchte Eigenheime;4107;2009_2;327;96,455
gebrauchte Eigenheime;4107;2009_3;339;97,959
gebrauchte Eigenheime;4107;2009_4;286;96,489
gebrauchte Eigenheime;4107;2010_1;238;100,000
gebrauchte Eigenheime;4107;2010_2;312;105,990
gebrauchte Eigenheime;4107;2010_3;347;104,690
gebrauchte Eigenheime;4107;2010_4;379;103,501
gebrauchte Eigenheime;4107;2011_1;272;104,140
gebrauchte Eigenheime;4107;2011_2;383;103,674
gebrauchte Eigenheime;4107;2011_3;386;102,614
gebrauchte Eigenheime;4107;2011_4;330;100,224
gebrauchte Eigenheime;4107;2012_1;336;100,920
gebrauchte Eigenheime;4107;2012_2;306;104,077
gebrauchte Eigenheime;4107;2012_3;369;104,483
gebrauchte Eigenheime;4107;2012_4;358;104,152
gebrauchte Eigenheime;4107;2013_1;277;105,856
gebrauchte Eigenheime;4107;2013_2;349;110,914
gebrauchte Eigenheime;4107;2013_3;429;113,524
gebrauchte Eigenheime;4107;2013_4;376;111,111
gebrauchte Eigenheime;4107;2014_1;294;109,597
gebrauchte Eigenheime;4107;2014_2;365;111,363
gebrauchte Eigenheime;4107;2014_3;409;110,191
gebrauchte Eigenheime;4107;2014_4;344;110,729
gebrauchte Eigenheime;4107;2015_1;378;117,940
gebrauchte Eigenheime;4107;2015_2;417;123,030
gebrauchte Eigenheime;4107;2015_3;384;121,727
gebrauchte Eigenheime;4107;2015_4;405;118,673
gebrauchte Eigenheime;4107;2016_1;359;119,400
gebrauchte Eigenheime;4107;2016_2;424;122,973
gebrauchte Eigenheime;4107;2016_3;416;126,398
gebrauchte Eigenheime;4107;2016_4;383;126,312
gebrauchte Eigenheime;4107;2017_1;311;127,049
gebrauchte Eigenheime;4107;2017_2;356;129,534
gebrauchte Eigenheime;4107;2017_3;439;131,460
gebrauchte Eigenheime;4107;2017_4;368;133,209
gebrauchte Eigenheime;4107;2018_1;328;132,930
gebrauchte Eigenheime;4107;2018_2;404;133,929
gebrauchte Eigenheime;4107;2018_3;405;137,554
gebrauchte Eigenheime;4107;2018_4;393;141,507
gebrauchte Eigenheime;4107;2019_1;325;
gebrauchte Eigenheime;4107;2019_2;;
gebrauchte Eigenheime;4107;2019_3;;
gebrauchte Eigenheime;4107;2019_4;;
gebrauchte Eigenheime;4107;2020_1;;
gebrauchte Eigenheime;4107;2020_2;;
gebrauchte Eigenheime;4107;2020_3;;
gebrauchte Eigenheime;4107;2020_4;;
gebrauchte Eigenheime;4107;2021_1;;
gebrauchte Eigenheime;4107;2021_2;;
gebrauchte Eigenheime;4107;2021_3;;
gebrauchte Eigenheime;4107;2021_4;;
gebrauchte Eigenheime;4108;2000_1;1077;
gebrauchte Eigenheime;4108;2000_2;1069;118,616
gebrauchte Eigenheime;4108;2000_3;1044;117,365
gebrauchte Eigenheime;4108;2000_4;1143;115,583
gebrauchte Eigenheime;4108;2001_1;1063;114,600
gebrauchte Eigenheime;4108;2001_2;1291;113,796
gebrauchte Eigenheime;4108;2001_3;1223;111,841
gebrauchte Eigenheime;4108;2001_4;1268;109,423
gebrauchte Eigenheime;4108;2002_1;1141;107,928
gebrauchte Eigenheime;4108;2002_2;1106;107,353
gebrauchte Eigenheime;4108;2002_3;1206;106,999
gebrauchte Eigenheime;4108;2002_4;1931;106,502
gebrauchte Eigenheime;4108;2003_1;767;106,356
gebrauchte Eigenheime;4108;2003_2;1170;106,584
gebrauchte Eigenheime;4108;2003_3;1354;106,573
gebrauchte Eigenheime;4108;2003_4;1817;106,307
gebrauchte Eigenheime;4108;2004_1;704;105,893
gebrauchte Eigenheime;4108;2004_2;1092;105,371
gebrauchte Eigenheime;4108;2004_3;1099;103,702
gebrauchte Eigenheime;4108;2004_4;1402;102,030
gebrauchte Eigenheime;4108;2005_1;842;102,360
gebrauchte Eigenheime;4108;2005_2;1166;103,444
gebrauchte Eigenheime;4108;2005_3;1114;103,319
gebrauchte Eigenheime;4108;2005_4;1953;102,933
gebrauchte Eigenheime;4108;2006_1;600;102,641
gebrauchte Eigenheime;4108;2006_2;961;101,198
gebrauchte Eigenheime;4108;2006_3;1114;99,929
gebrauchte Eigenheime;4108;2006_4;1263;99,593
gebrauchte Eigenheime;4108;2007_1;1002;99,478
gebrauchte Eigenheime;4108;2007_2;1122;99,911
gebrauchte Eigenheime;4108;2007_3;1154;99,939
gebrauchte Eigenheime;4108;2007_4;1166;99,050
gebrauchte Eigenheime;4108;2008_1;1035;99,115
gebrauchte Eigenheime;4108;2008_2;1243;99,432
gebrauchte Eigenheime;4108;2008_3;1236;99,120
gebrauchte Eigenheime;4108;2008_4;1332;98,517
gebrauchte Eigenheime;4108;2009_1;1061;97,782
gebrauchte Eigenheime;4108;2009_2;1270;97,962
gebrauchte Eigenheime;4108;2009_3;1406;98,721
gebrauchte Eigenheime;4108;2009_4;1226;99,082
gebrauchte Eigenheime;4108;2010_1;1110;100,000
gebrauchte Eigenheime;4108;2010_2;1380;101,456
gebrauchte Eigenheime;4108;2010_3;1487;102,267
gebrauchte Eigenheime;4108;2010_4;1732;102,646
gebrauchte Eigenheime;4108;2011_1;1020;103,815
gebrauchte Eigenheime;4108;2011_2;1414;105,271
gebrauchte Eigenheime;4108;2011_3;1364;105,397
gebrauchte Eigenheime;4108;2011_4;1434;106,166
gebrauchte Eigenheime;4108;2012_1;1267;108,427
gebrauchte Eigenheime;4108;2012_2;1504;110,441
gebrauchte Eigenheime;4108;2012_3;1597;112,642
gebrauchte Eigenheime;4108;2012_4;1423;114,952
gebrauchte Eigenheime;4108;2013_1;1334;116,003
gebrauchte Eigenheime;4108;2013_2;1445;117,357
gebrauchte Eigenheime;4108;2013_3;1600;119,832
gebrauchte Eigenheime;4108;2013_4;1777;122,011
gebrauchte Eigenheime;4108;2014_1;1201;122,937
gebrauchte Eigenheime;4108;2014_2;1438;123,938
gebrauchte Eigenheime;4108;2014_3;1618;125,931
gebrauchte Eigenheime;4108;2014_4;1524;127,413
gebrauchte Eigenheime;4108;2015_1;1434;129,693
gebrauchte Eigenheime;4108;2015_2;1570;132,699
gebrauchte Eigenheime;4108;2015_3;1677;135,217
gebrauchte Eigenheime;4108;2015_4;1575;137,877
gebrauchte Eigenheime;4108;2016_1;1455;140,097
gebrauchte Eigenheime;4108;2016_2;1557;143,413
gebrauchte Eigenheime;4108;2016_3;1554;147,444
gebrauchte Eigenheime;4108;2016_4;1641;149,210
gebrauchte Eigenheime;4108;2017_1;1447;148,944
gebrauchte Eigenheime;4108;2017_2;1546;150,278
gebrauchte Eigenheime;4108;2017_3;1686;155,008
gebrauchte Eigenheime;4108;2017_4;1625;154,723
gebrauchte Eigenheime;4108;2018_1;1378;153,635
gebrauchte Eigenheime;4108;2018_2;1581;156,456
gebrauchte Eigenheime;4108;2018_3;1688;159,337
gebrauchte Eigenheime;4108;2018_4;1750;161,104
gebrauchte Eigenheime;4108;2019_1;1356;
gebrauchte Eigenheime;4108;2019_2;;
gebrauchte Eigenheime;4108;2019_3;;
gebrauchte Eigenheime;4108;2019_4;;
gebrauchte Eigenheime;4108;2020_1;;
gebrauchte Eigenheime;4108;2020_2;;
gebrauchte Eigenheime;4108;2020_3;;
gebrauchte Eigenheime;4108;2020_4;;
gebrauchte Eigenheime;4108;2021_1;;
gebrauchte Eigenheime;4108;2021_2;;
gebrauchte Eigenheime;4108;2021_3;;
gebrauchte Eigenheime;4108;2021_4;;
gebrauchte Eigenheime;4109;2000_1;1071;
gebrauchte Eigenheime;4109;2000_2;1081;134,817
gebrauchte Eigenheime;4109;2000_3;1103;133,564
gebrauchte Eigenheime;4109;2000_4;1087;132,746
gebrauchte Eigenheime;4109;2001_1;1120;130,063
gebrauchte Eigenheime;4109;2001_2;1210;127,242
gebrauchte Eigenheime;4109;2001_3;1270;126,994
gebrauchte Eigenheime;4109;2001_4;1214;126,766
gebrauchte Eigenheime;4109;2002_1;1116;124,954
gebrauchte Eigenheime;4109;2002_2;1187;123,852
gebrauchte Eigenheime;4109;2002_3;1146;122,522
gebrauchte Eigenheime;4109;2002_4;1959;121,002
gebrauchte Eigenheime;4109;2003_1;844;119,390
gebrauchte Eigenheime;4109;2003_2;1138;118,645
gebrauchte Eigenheime;4109;2003_3;1319;118,484
gebrauchte Eigenheime;4109;2003_4;1887;117,086
gebrauchte Eigenheime;4109;2004_1;773;115,778
gebrauchte Eigenheime;4109;2004_2;1039;115,355
gebrauchte Eigenheime;4109;2004_3;1186;113,603
gebrauchte Eigenheime;4109;2004_4;1429;111,833
gebrauchte Eigenheime;4109;2005_1;837;112,047
gebrauchte Eigenheime;4109;2005_2;1092;112,546
gebrauchte Eigenheime;4109;2005_3;1238;111,949
gebrauchte Eigenheime;4109;2005_4;1947;111,787
gebrauchte Eigenheime;4109;2006_1;813;111,345
gebrauchte Eigenheime;4109;2006_2;974;109,192
gebrauchte Eigenheime;4109;2006_3;1081;107,680
gebrauchte Eigenheime;4109;2006_4;1168;106,813
gebrauchte Eigenheime;4109;2007_1;1119;106,180
gebrauchte Eigenheime;4109;2007_2;1187;106,146
gebrauchte Eigenheime;4109;2007_3;1270;106,199
gebrauchte Eigenheime;4109;2007_4;1175;105,715
gebrauchte Eigenheime;4109;2008_1;1120;104,952
gebrauchte Eigenheime;4109;2008_2;1252;103,788
gebrauchte Eigenheime;4109;2008_3;1314;102,235
gebrauchte Eigenheime;4109;2008_4;1190;101,380
gebrauchte Eigenheime;4109;2009_1;1123;101,947
gebrauchte Eigenheime;4109;2009_2;1223;102,427
gebrauchte Eigenheime;4109;2009_3;1318;101,970
gebrauchte Eigenheime;4109;2009_4;1166;101,212
gebrauchte Eigenheime;4109;2010_1;1149;100,000
gebrauchte Eigenheime;4109;2010_2;1336;99,472
gebrauchte Eigenheime;4109;2010_3;1548;100,265
gebrauchte Eigenheime;4109;2010_4;1541;100,717
gebrauchte Eigenheime;4109;2011_1;1131;101,231
gebrauchte Eigenheime;4109;2011_2;1381;102,422
gebrauchte Eigenheime;4109;2011_3;1465;102,117
gebrauchte Eigenheime;4109;2011_4;1335;102,050
gebrauchte Eigenheime;4109;2012_1;1368;103,703
gebrauchte Eigenheime;4109;2012_2;1409;104,454
gebrauchte Eigenheime;4109;2012_3;1509;104,607
gebrauchte Eigenheime;4109;2012_4;1405;105,121
gebrauchte Eigenheime;4109;2013_1;1419;106,901
gebrauchte Eigenheime;4109;2013_2;1628;109,348
gebrauchte Eigenheime;4109;2013_3;1665;109,584
gebrauchte Eigenheime;4109;2013_4;1527;109,353
gebrauchte Eigenheime;4109;2014_1;1446;110,593
gebrauchte Eigenheime;4109;2014_2;1555;110,586
gebrauchte Eigenheime;4109;2014_3;1716;110,106
gebrauchte Eigenheime;4109;2014_4;1481;111,886
gebrauchte Eigenheime;4109;2015_1;1683;114,995
gebrauchte Eigenheime;4109;2015_2;1748;116,926
gebrauchte Eigenheime;4109;2015_3;1691;118,104
gebrauchte Eigenheime;4109;2015_4;1679;118,836
gebrauchte Eigenheime;4109;2016_1;1528;120,524
gebrauchte Eigenheime;4109;2016_2;1703;123,526
gebrauchte Eigenheime;4109;2016_3;1677;124,842
gebrauchte Eigenheime;4109;2016_4;1365;126,486
gebrauchte Eigenheime;4109;2017_1;1738;128,425
gebrauchte Eigenheime;4109;2017_2;1610;132,866
gebrauchte Eigenheime;4109;2017_3;1741;134,976
gebrauchte Eigenheime;4109;2017_4;1398;137,859
gebrauchte Eigenheime;4109;2018_1;1693;138,413
gebrauchte Eigenheime;4109;2018_2;1741;143,682
gebrauchte Eigenheime;4109;2018_3;1761;146,665
gebrauchte Eigenheime;4109;2018_4;1604;148,403
gebrauchte Eigenheime;4109;2019_1;1446;
gebrauchte Eigenheime;4109;2019_2;;
gebrauchte Eigenheime;4109;2019_3;;
gebrauchte Eigenheime;4109;2019_4;;
gebrauchte Eigenheime;4109;2020_1;;
gebrauchte Eigenheime;4109;2020_2;;
gebrauchte Eigenheime;4109;2020_3;;
gebrauchte Eigenheime;4109;2020_4;;
gebrauchte Eigenheime;4109;2021_1;;
gebrauchte Eigenheime;4109;2021_2;;
gebrauchte Eigenheime;4109;2021_3;;
gebrauchte Eigenheime;4109;2021_4;;
gebrauchte Eigenheime;4201;2000_1;169;
gebrauchte Eigenheime;4201;2000_2;185;106,075
gebrauchte Eigenheime;4201;2000_3;168;104,139
gebrauchte Eigenheime;4201;2000_4;172;101,728
gebrauchte Eigenheime;4201;2001_1;160;100,113
gebrauchte Eigenheime;4201;2001_2;175;99,794
gebrauchte Eigenheime;4201;2001_3;177;99,789
gebrauchte Eigenheime;4201;2001_4;168;100,792
gebrauchte Eigenheime;4201;2002_1;172;100,659
gebrauchte Eigenheime;4201;2002_2;166;97,847
gebrauchte Eigenheime;4201;2002_3;157;95,004
gebrauchte Eigenheime;4201;2002_4;295;95,137
gebrauchte Eigenheime;4201;2003_1;142;97,811
gebrauchte Eigenheime;4201;2003_2;158;100,717
gebrauchte Eigenheime;4201;2003_3;181;100,271
gebrauchte Eigenheime;4201;2003_4;283;98,162
gebrauchte Eigenheime;4201;2004_1;104;95,380
gebrauchte Eigenheime;4201;2004_2;175;95,168
gebrauchte Eigenheime;4201;2004_3;179;96,840
gebrauchte Eigenheime;4201;2004_4;219;96,544
gebrauchte Eigenheime;4201;2005_1;151;95,340
gebrauchte Eigenheime;4201;2005_2;161;95,154
gebrauchte Eigenheime;4201;2005_3;204;96,271
gebrauchte Eigenheime;4201;2005_4;330;95,631
gebrauchte Eigenheime;4201;2006_1;82;95,003
gebrauchte Eigenheime;4201;2006_2;157;97,741
gebrauchte Eigenheime;4201;2006_3;191;98,848
gebrauchte Eigenheime;4201;2006_4;185;98,790
gebrauchte Eigenheime;4201;2007_1;133;98,422
gebrauchte Eigenheime;4201;2007_2;164;97,914
gebrauchte Eigenheime;4201;2007_3;169;99,279
gebrauchte Eigenheime;4201;2007_4;151;100,713
gebrauchte Eigenheime;4201;2008_1;154;99,300
gebrauchte Eigenheime;4201;2008_2;168;97,893
gebrauchte Eigenheime;4201;2008_3;197;96,593
gebrauchte Eigenheime;4201;2008_4;155;94,462
gebrauchte Eigenheime;4201;2009_1;147;94,042
gebrauchte Eigenheime;4201;2009_2;180;95,614
gebrauchte Eigenheime;4201;2009_3;175;97,300
gebrauchte Eigenheime;4201;2009_4;183;98,045
gebrauchte Eigenheime;4201;2010_1;134;100,000
gebrauchte Eigenheime;4201;2010_2;182;102,303
gebrauchte Eigenheime;4201;2010_3;194;101,900
gebrauchte Eigenheime;4201;2010_4;275;101,067
gebrauchte Eigenheime;4201;2011_1;123;102,354
gebrauchte Eigenheime;4201;2011_2;184;105,900
gebrauchte Eigenheime;4201;2011_3;151;107,687
gebrauchte Eigenheime;4201;2011_4;171;108,838
gebrauchte Eigenheime;4201;2012_1;161;110,812
gebrauchte Eigenheime;4201;2012_2;163;112,423
gebrauchte Eigenheime;4201;2012_3;183;115,552
gebrauchte Eigenheime;4201;2012_4;167;119,036
gebrauchte Eigenheime;4201;2013_1;146;119,183
gebrauchte Eigenheime;4201;2013_2;169;117,275
gebrauchte Eigenheime;4201;2013_3;159;116,021
gebrauchte Eigenheime;4201;2013_4;159;115,611
gebrauchte Eigenheime;4201;2014_1;121;114,040
gebrauchte Eigenheime;4201;2014_2;160;114,169
gebrauchte Eigenheime;4201;2014_3;138;118,170
gebrauchte Eigenheime;4201;2014_4;161;121,387
gebrauchte Eigenheime;4201;2015_1;135;122,395
gebrauchte Eigenheime;4201;2015_2;192;122,245
gebrauchte Eigenheime;4201;2015_3;196;123,993
gebrauchte Eigenheime;4201;2015_4;165;127,918
gebrauchte Eigenheime;4201;2016_1;149;127,719
gebrauchte Eigenheime;4201;2016_2;172;127,538
gebrauchte Eigenheime;4201;2016_3;223;131,393
gebrauchte Eigenheime;4201;2016_4;174;131,297
gebrauchte Eigenheime;4201;2017_1;129;125,958
gebrauchte Eigenheime;4201;2017_2;177;125,529
gebrauchte Eigenheime;4201;2017_3;153;129,298
gebrauchte Eigenheime;4201;2017_4;161;129,660
gebrauchte Eigenheime;4201;2018_1;152;132,483
gebrauchte Eigenheime;4201;2018_2;177;133,395
gebrauchte Eigenheime;4201;2018_3;177;133,344
gebrauchte Eigenheime;4201;2018_4;188;135,435
gebrauchte Eigenheime;4201;2019_1;141;
gebrauchte Eigenheime;4201;2019_2;;
gebrauchte Eigenheime;4201;2019_3;;
gebrauchte Eigenheime;4201;2019_4;;
gebrauchte Eigenheime;4201;2020_1;;
gebrauchte Eigenheime;4201;2020_2;;
gebrauchte Eigenheime;4201;2020_3;;
gebrauchte Eigenheime;4201;2020_4;;
gebrauchte Eigenheime;4201;2021_1;;
gebrauchte Eigenheime;4201;2021_2;;
gebrauchte Eigenheime;4201;2021_3;;
gebrauchte Eigenheime;4201;2021_4;;
gebrauchte Eigenheime;4203;2000_1;127;
gebrauchte Eigenheime;4203;2000_2;127;134,560
gebrauchte Eigenheime;4203;2000_3;114;135,618
gebrauchte Eigenheime;4203;2000_4;105;137,201
gebrauchte Eigenheime;4203;2001_1;127;135,889
gebrauchte Eigenheime;4203;2001_2;119;136,430
gebrauchte Eigenheime;4203;2001_3;127;132,261
gebrauchte Eigenheime;4203;2001_4;100;124,113
gebrauchte Eigenheime;4203;2002_1;108;127,072
gebrauchte Eigenheime;4203;2002_2;132;130,715
gebrauchte Eigenheime;4203;2002_3;103;126,607
gebrauchte Eigenheime;4203;2002_4;190;122,135
gebrauchte Eigenheime;4203;2003_1;103;123,806
gebrauchte Eigenheime;4203;2003_2;113;125,811
gebrauchte Eigenheime;4203;2003_3;95;123,752
gebrauchte Eigenheime;4203;2003_4;253;123,292
gebrauchte Eigenheime;4203;2004_1;84;123,566
gebrauchte Eigenheime;4203;2004_2;109;122,576
gebrauchte Eigenheime;4203;2004_3;133;124,975
gebrauchte Eigenheime;4203;2004_4;206;127,011
gebrauchte Eigenheime;4203;2005_1;105;126,964
gebrauchte Eigenheime;4203;2005_2;138;127,384
gebrauchte Eigenheime;4203;2005_3;145;125,314
gebrauchte Eigenheime;4203;2005_4;278;122,999
gebrauchte Eigenheime;4203;2006_1;82;121,605
gebrauchte Eigenheime;4203;2006_2;105;120,154
gebrauchte Eigenheime;4203;2006_3;118;118,275
gebrauchte Eigenheime;4203;2006_4;144;115,266
gebrauchte Eigenheime;4203;2007_1;119;112,448
gebrauchte Eigenheime;4203;2007_2;165;111,041
gebrauchte Eigenheime;4203;2007_3;133;108,465
gebrauchte Eigenheime;4203;2007_4;131;106,434
gebrauchte Eigenheime;4203;2008_1;124;108,084
gebrauchte Eigenheime;4203;2008_2;163;107,941
gebrauchte Eigenheime;4203;2008_3;127;104,731
gebrauchte Eigenheime;4203;2008_4;167;102,154
gebrauchte Eigenheime;4203;2009_1;172;102,299
gebrauchte Eigenheime;4203;2009_2;183;103,480
gebrauchte Eigenheime;4203;2009_3;194;102,205
gebrauchte Eigenheime;4203;2009_4;227;99,005
gebrauchte Eigenheime;4203;2010_1;183;100,000
gebrauchte Eigenheime;4203;2010_2;206;101,826
gebrauchte Eigenheime;4203;2010_3;208;101,373
gebrauchte Eigenheime;4203;2010_4;223;102,039
gebrauchte Eigenheime;4203;2011_1;154;106,577
gebrauchte Eigenheime;4203;2011_2;233;111,663
gebrauchte Eigenheime;4203;2011_3;216;112,587
gebrauchte Eigenheime;4203;2011_4;190;111,407
gebrauchte Eigenheime;4203;2012_1;153;113,125
gebrauchte Eigenheime;4203;2012_2;160;118,673
gebrauchte Eigenheime;4203;2012_3;193;120,552
gebrauchte Eigenheime;4203;2012_4;185;120,957
gebrauchte Eigenheime;4203;2013_1;129;122,803
gebrauchte Eigenheime;4203;2013_2;184;124,553
gebrauchte Eigenheime;4203;2013_3;173;126,738
gebrauchte Eigenheime;4203;2013_4;228;127,453
gebrauchte Eigenheime;4203;2014_1;136;128,687
gebrauchte Eigenheime;4203;2014_2;155;130,941
gebrauchte Eigenheime;4203;2014_3;189;129,599
gebrauchte Eigenheime;4203;2014_4;170;129,113
gebrauchte Eigenheime;4203;2015_1;175;132,623
gebrauchte Eigenheime;4203;2015_2;199;135,300
gebrauchte Eigenheime;4203;2015_3;200;136,469
gebrauchte Eigenheime;4203;2015_4;176;137,152
gebrauchte Eigenheime;4203;2016_1;139;139,613
gebrauchte Eigenheime;4203;2016_2;218;144,209
gebrauchte Eigenheime;4203;2016_3;180;144,514
gebrauchte Eigenheime;4203;2016_4;217;143,861
gebrauchte Eigenheime;4203;2017_1;184;137,471
gebrauchte Eigenheime;4203;2017_2;219;134,648
gebrauchte Eigenheime;4203;2017_3;226;137,867
gebrauchte Eigenheime;4203;2017_4;235;141,405
gebrauchte Eigenheime;4203;2018_1;209;150,648
gebrauchte Eigenheime;4203;2018_2;200;152,539
gebrauchte Eigenheime;4203;2018_3;222;155,365
gebrauchte Eigenheime;4203;2018_4;226;158,745
gebrauchte Eigenheime;4203;2019_1;191;
gebrauchte Eigenheime;4203;2019_2;;
gebrauchte Eigenheime;4203;2019_3;;
gebrauchte Eigenheime;4203;2019_4;;
gebrauchte Eigenheime;4203;2020_1;;
gebrauchte Eigenheime;4203;2020_2;;
gebrauchte Eigenheime;4203;2020_3;;
gebrauchte Eigenheime;4203;2020_4;;
gebrauchte Eigenheime;4203;2021_1;;
gebrauchte Eigenheime;4203;2021_2;;
gebrauchte Eigenheime;4203;2021_3;;
gebrauchte Eigenheime;4203;2021_4;;
gebrauchte Eigenheime;4204;2000_1;66;
gebrauchte Eigenheime;4204;2000_2;64;118,308
gebrauchte Eigenheime;4204;2000_3;59;111,398
gebrauchte Eigenheime;4204;2000_4;71;107,366
gebrauchte Eigenheime;4204;2001_1;58;102,340
gebrauchte Eigenheime;4204;2001_2;59;100,067
gebrauchte Eigenheime;4204;2001_3;53;102,038
gebrauchte Eigenheime;4204;2001_4;62;98,804
gebrauchte Eigenheime;4204;2002_1;48;99,177
gebrauchte Eigenheime;4204;2002_2;69;103,694
gebrauchte Eigenheime;4204;2002_3;70;102,359
gebrauchte Eigenheime;4204;2002_4;109;99,198
gebrauchte Eigenheime;4204;2003_1;41;102,134
gebrauchte Eigenheime;4204;2003_2;59;110,918
gebrauchte Eigenheime;4204;2003_3;61;111,108
gebrauchte Eigenheime;4204;2003_4;87;108,188
gebrauchte Eigenheime;4204;2004_1;47;106,358
gebrauchte Eigenheime;4204;2004_2;54;105,540
gebrauchte Eigenheime;4204;2004_3;47;99,820
gebrauchte Eigenheime;4204;2004_4;94;94,560
gebrauchte Eigenheime;4204;2005_1;49;96,240
gebrauchte Eigenheime;4204;2005_2;56;104,516
gebrauchte Eigenheime;4204;2005_3;46;106,998
gebrauchte Eigenheime;4204;2005_4;94;106,410
gebrauchte Eigenheime;4204;2006_1;28;106,572
gebrauchte Eigenheime;4204;2006_2;60;101,856
gebrauchte Eigenheime;4204;2006_3;64;99,090
gebrauchte Eigenheime;4204;2006_4;130;99,496
gebrauchte Eigenheime;4204;2007_1;66;98,478
gebrauchte Eigenheime;4204;2007_2;78;96,212
gebrauchte Eigenheime;4204;2007_3;88;96,029
gebrauchte Eigenheime;4204;2007_4;96;95,983
gebrauchte Eigenheime;4204;2008_1;71;97,157
gebrauchte Eigenheime;4204;2008_2;88;100,811
gebrauchte Eigenheime;4204;2008_3;71;102,275
gebrauchte Eigenheime;4204;2008_4;91;99,518
gebrauchte Eigenheime;4204;2009_1;77;92,628
gebrauchte Eigenheime;4204;2009_2;94;89,668
gebrauchte Eigenheime;4204;2009_3;81;94,354
gebrauchte Eigenheime;4204;2009_4;92;98,179
gebrauchte Eigenheime;4204;2010_1;71;100,000
gebrauchte Eigenheime;4204;2010_2;89;103,581
gebrauchte Eigenheime;4204;2010_3;77;107,384
gebrauchte Eigenheime;4204;2010_4;123;110,788
gebrauchte Eigenheime;4204;2011_1;58;111,776
gebrauchte Eigenheime;4204;2011_2;100;111,310
gebrauchte Eigenheime;4204;2011_3;112;112,590
gebrauchte Eigenheime;4204;2011_4;104;114,639
gebrauchte Eigenheime;4204;2012_1;104;116,682
gebrauchte Eigenheime;4204;2012_2;116;120,868
gebrauchte Eigenheime;4204;2012_3;104;127,922
gebrauchte Eigenheime;4204;2012_4;93;132,424
gebrauchte Eigenheime;4204;2013_1;87;130,637
gebrauchte Eigenheime;4204;2013_2;100;129,549
gebrauchte Eigenheime;4204;2013_3;108;131,488
gebrauchte Eigenheime;4204;2013_4;122;135,644
gebrauchte Eigenheime;4204;2014_1;74;139,775
gebrauchte Eigenheime;4204;2014_2;104;142,830
gebrauchte Eigenheime;4204;2014_3;88;146,132
gebrauchte Eigenheime;4204;2014_4;109;150,578
gebrauchte Eigenheime;4204;2015_1;92;157,136
gebrauchte Eigenheime;4204;2015_2;112;161,705
gebrauchte Eigenheime;4204;2015_3;97;161,968
gebrauchte Eigenheime;4204;2015_4;104;162,728
gebrauchte Eigenheime;4204;2016_1;103;164,170
gebrauchte Eigenheime;4204;2016_2;107;167,409
gebrauchte Eigenheime;4204;2016_3;94;172,351
gebrauchte Eigenheime;4204;2016_4;127;172,225
gebrauchte Eigenheime;4204;2017_1;114;168,790
gebrauchte Eigenheime;4204;2017_2;140;175,807
gebrauchte Eigenheime;4204;2017_3;103;174,128
gebrauchte Eigenheime;4204;2017_4;128;175,712
gebrauchte Eigenheime;4204;2018_1;122;171,837
gebrauchte Eigenheime;4204;2018_2;136;174,851
gebrauchte Eigenheime;4204;2018_3;108;171,150
gebrauchte Eigenheime;4204;2018_4;129;167,577
